captured_at,brand,name,buyma_url,buyma_price,buyma_list_price,buyma_discount_pct,buyma_sale_until
2025-09-10T15:32:25.655870,GUCCI,GUCCI (グッチ) ブレスレット メンズ,https://www.buyma.com/item/99485113/,50800,68200,25,2025-11-01T23:59:59+09:00
2025-09-10T15:32:28.220707,GUCCI,GUCCI (グッチ) 折りたたみ財布 レディース,https://www.buyma.com/item/121586642/,47200,91800,48,2025-11-07T23:59:59+09:00
2025-09-10T15:32:31.685855,GUCCI,GUCCI (グッチ) 折りたたみ財布 レディース,https://www.buyma.com/item/121198272/,65800,89100,26,2025-10-31T23:59:59+09:00
2025-09-10T15:32:34.173883,GUCCI,GUCCI (グッチ) ネックレス・チョーカー メンズ,https://www.buyma.com/item/104570814/,29800,30722,3,2025-11-18T23:59:59+09:00
2025-09-10T15:32:37.063741,GUCCI,GUCCI (グッチ) ショルダーバッグ・ポシェット レディース 2025 SS（春夏）,https://www.buyma.com/item/115627881/,147583,219479,32,2025-12-06T23:59:59+09:00
2025-09-10T15:32:39.764041,GUCCI,GUCCI (グッチ) サングラス レディース,https://www.buyma.com/item/116737886/,29990,47300,36,2025-10-04T23:59:59+09:00
2025-09-10T15:32:43.222262,GUCCI,GUCCI Soho (グッチ ソーホー) ショルダーバッグ・ポシェット レディース,https://www.buyma.com/item/107007716/,122000,229300,46,2025-10-31T23:59:59+09:00
2025-09-10T15:32:45.497520,GUCCI,GUCCI (グッチ) 財布・小物 レディース,https://www.buyma.com/item/113668909/,69800,156400,55,2025-10-26T23:59:59+09:00
2025-09-10T15:32:47.855874,GUCCI,GUCCI Ophidia (グッチ オフィディア) ショルダーバッグ・ポシェット レディース,https://www.buyma.com/item/114964232/,99800,186000,46,2025-09-18T23:59:59+09:00
2025-09-10T15:32:50.347116,GUCCI,GUCCI (グッチ) ショルダーバッグ メンズ 2025 SS（春夏）,https://www.buyma.com/item/115705274/,119900,260100,53,2025-12-03T23:59:59+09:00
2025-09-10T15:32:53.389092,GUCCI,GUCCI (グッチ) キーケース レディース,https://www.buyma.com/item/101404762/,26500,49500,46,2025-09-27T23:59:59+09:00
2025-09-10T15:32:55.597485,GUCCI,GUCCI (グッチ) メガネ メンズ,https://www.buyma.com/item/118236005/,19800,42900,53,2025-10-02T23:59:59+09:00
2025-09-10T15:32:58.280448,GUCCI,GUCCI (グッチ) iPhone・スマホケース レディース,https://www.buyma.com/item/121408546/,14800,32000,53,2025-11-13T23:59:59+09:00
2025-09-10T15:33:01.447335,GUCCI,GUCCI (グッチ) ショルダーバッグ・ポシェット レディース,https://www.buyma.com/item/117987388/,74900,245800,69,2025-09-27T23:59:59+09:00
2025-09-10T15:33:04.164322,GUCCI,GUCCI (グッチ) キーケース・キーリング メンズ,https://www.buyma.com/item/119800779/,37700,57200,34,2025-09-30T23:59:59+09:00
